,Unnamed: 0,videoId,authorDisplayName,authorProfileImageUrl,authorChannelUrl,textOriginal,likeCount,publishedAt,polarity,subjectivity,language,NewsId,News_link,video_isdeleted (16/06/21),video_isdeleted (first_check),UUID_link
1520,1520,7Z8EtlBe8Ts,Agimaso Schandir,https://yt3.ggpht.com/-d6wHiiFzDkw/AAAAAAAAAAI/AAAAAAAAAAA/sdc95H8pyZs/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCJJVap7xCAUDh3ZTNk89OTQ,Having done more searching: https://www.newscientist.com/article/dn26861-laser-flight-path-caught-on-camera-for-the-first-time/,1,2016-10-20T22:33:07.000Z,0.5,0.5,en,newscientist,https://www.newscientist.com/article/dn26861-laser-flight-path-caught-on-camera-for-the-first-time/,False,False,http://www.newscientist.com/article/dn26861-laser-flight-path-caught-on-camera-for-the-first-time/
370,370,0YUUj3Qkm5I,Dylan Thomas,https://yt3.ggpht.com/-XRCnLhO4FXc/AAAAAAAAAAI/AAAAAAAAAAA/aeBy2skGlQw/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UC_Rvg4sAInoCj1z8jMj9ZJg,"I believe Kris has previously responded to the vegan challenge in a fair and respectful manner. He was also humble enough to admit he has changed some of his viewpoints on the diet after doing more research.  ""There are some ethical and environmental reasons not to eat animals… I  get it. But there is no scientifically valid health reason to completely  eliminate animal foods.At the end of the day, the optimal diet for any one person depends on a lot of things.This includes age, gender, activity levels, current metabolic health, food culture and personal preference. Vegan diets may be appropriate for some people, not others. Different strokes for different folks.""  https://authoritynutrition.com/top-5-reasons-why-vegan-diets-are-a-terrible-idea/",0,2016-07-04T12:50:54.000Z,0.164102564103,0.505128205128,en,authoritynutrition,https://authoritynutrition.com/top-5-reasons-why-vegan-diets-are-a-terrible-idea/,False,False,http://authoritynutrition.com/top-5-reasons-why-vegan-diets-are-a-terrible-idea/
1568,1568,6wNp1fmkOis,Burgundy Socks,https://yt3.ggpht.com/-WrCsxCQ15bY/AAAAAAAAAAI/AAAAAAAAAAA/GUZUo_70x0c/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCU_lqGp-_kMR2x8MUTjVDVw,"Just looked into this study and LACEY IS A LIAR, and this study is complete bullshit  ""Low fat"" group: 1st year- 24% calories from fat   6th year- 29% calories from fat High fat group: 1st year- 35% cal from fat        6th year- 37% cal from fat (year 1 and 6 were the only given info. I didnt cherry pick the two closest years)   Thats an 8-11% difference. 24-29% calories coming from fat is a HIGH FAT diet. All they did was look at a high fat diet compared to a higher fat diet and didnt see any significant differences.  They also said that only total fat was decreased (not satur or trans fat), which means both groups could have been eating the same amount of saturated and trans fats.  For instance ""low fat"" group could eat a steak and a salad, while high fat could eat a steak and salad with half an avocado. Obviously theyre not going to have huge differences in health unless the ""low fat"" group exchanges the steak for an avocado, which I guarantee you they did not. Read the fine print people:  “This study shows that just reducing total fat intake does not go far enough to have an impact on heart disease risk. While the participants’ overall change in LDL “bad” cholesterol was small, we saw trends towards greater reductions in cholesterol and heart disease risk in women eating less saturated and trans fat,” said Jacques Rossouw, M.D., WHI project officer. wait, what was that? LESS SATURATED/TRANS FAT = LESS CHOLESTEROL AND HEART DISEASE  (no sat/trans fat= no heart disease btw (well, as long as you stay away from some other stuff as well))   ""The study also found that following a high-carbohydrate, low-fat eating pattern DOES NOT increase body weight, triglycerides or indicators of increased risk of diabetes such as blood glucose or insulin levels in women."" WAIT A SECOND, lacey just said the opposite of both of those statements (the ""DOES NOT"" I put in caps to make sure you see it, it wasnt like that on the study obviously)  Those quotes are right there in the study heres the link: http://www.nih.gov/news/pr/feb2006/nhlbi-07.htm  Thats what you call bad science  Dont listen to summaries of medical studies do the research yourself (took me 5 minutes) and tune out the propaganda ",0,2014-07-05T22:57:18.000Z,0.0140418118467,0.452673248161,en,nih.gov,http://www.nih.gov/news/pr/feb2006/nhlbi-07.htm,False,False,http://www.nih.gov/news/pr/feb2006/nhlbi-07.htm
1320,1320,nuMvRExazAw,ExtantFrodo2,https://yt3.ggpht.com/-DwY01DOJUU4/AAAAAAAAAAI/AAAAAAAAAAA/XNC3qiwplh4/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCMrgSiWX0PrfLc-OpliS_Kg,"*""RNA requres Ribosomes""* No, it doesn't. RNA can form naturally in the presence of various catalytic minerals.  *""are required to not just manufacture new RNA ""*   Ribosomes manufacture RNA? Wow, that news to me. Can you back up that statement with a citation?  *""a self-replicating molecule that in any form would enable life to evolve would need protein for it to come into existence""* What is there to prevent the linking of nucleobases into long-ish chains of random nucleotides?  What is there to prevent breaking those chains into random length sections?  What is there to prevent connecting said random pre-formed chains?  What is there to prevent an indefinite cycle of such things forming at some point a self-replicating chain of RNA?  What is there to prevent evolution once you have any kind of self-replication?  What is there to prevent you from picturing a set of conditions where these things can happen?       So no number of micro-environments in all the planets of all the galaxies in the universe could possibly accidentally hit on a chain of a couple hundred nucleotides out of the many many such chains that would be self-replicating? There is no process in all possible space that can randomly link nucleotides and chains of nucleotides that get randomly rebroken such that innumerable variations of sequences get assembled at one time or another?      Evolution is not random mutation. Although some form of variation is necessary and random variation is certainly adequate - without the filtering by the environment (which is where the information part comes in) you'd have nothing but an ever expanding gene pool of which only the smallest fraction would bear any semblance to life you see today. The vast majority would be random blobs of goo.  RNA-Catalyzed RNA Polymerization: Accurate & General RNA-Templated Primer Extension sciencemag.org/cgi/content/full/292/5520/1319  nature.com/news/2009/090513/full/news.2009.471.html RNA forms on it's own!  Non-enzymatic glycolysis and pentose phosphate pathway-like reactions in a plausible Archean ocean msb.embopress.org/content/10/4/725  The Origin of Life - Abiogenesis youtube.com/watch?v=U6QYDdgP9eg  http://www.csmonitor.com/Science/2015/0623/How-can-life-emerge-from-nonliving-matter-UNC-scientists-find-new-evidence  The Origin of Life made easy youtube.com/watch?v=v8nYTJf62sE  ""Replicating vesicles as models of primitive cell growth & division"" Martin M Hanczyc & Jack W Szostack ""The Origins of Cellular Life"" Szostack  Synthesis of activated pyrimidine ribonucleotides in prebiotically plausible conditions Matthew W. Powner, Beatrice Gerland & John D. Sutherland. Nature, Vol. 460, May 13, 2009.""  Robertson MP, Joyce GF. (2014) Highly efficient self-replicating RNA enzymes.Chem Biol. 21: 238-45.  Ferretti AC, Joyce GF. (2013) Kinetic properties of an RNA enzyme that undergoes self-sustained exponential amplification.Biochemistry. 52: 1227-35.  http://www.sciencemag.org/news/2015/03/researchers-may-have-solved-origin-life-conundrum  Lam, BJ & Joyce, GF (2009) Autocatalytic aptazymes: ligand-dependent exponential amplification of RNA. Nature Biotechnol. 27: 288-92.   Lincoln, TA & Joyce, GF (2009) Self-sustained replication of an RNA enzyme. Science. 323: 1229-32.  Voytek, SB & Joyce, G.F. (2007) Emergence of a fast-reacting ribozyme that is capable of undergoing continuous evolution. Proc. Natl. Acad. Sci. USA 104: 15288–93.  Paegel BM, Joyce GF (2008) Darwinian Evolution on a Chip. PLoS Biol 6(4): e85. doi:10.1371/journal.pbio.0060085  http://www.nature.com/nchem/journal/v5/n12/fig_tab/nchem.1811_F1.html Progress towards an RNA replicase ribozyme.  NASA has recently shown how Arsenic can substitute for Phosphorus as an RNA linker to polymerize it into RNA sequences without any need for ""helper"" proteins or catalysts. Basically there's now nothing missing from the recipe for abiogenesis to proceed under completely natural conditions. Amino acids & nucleotides form naturally, they are able to form linkages without designed catalysts. Short sequences are shown to self replicate. The rest is just proper circumstances.  These microbes THRIVED in a Phosphorus free environment. It's not just the phosphorus on the DNA that got swapped but every Phosphorus using molecule in the cell. For instance the cell membrane consists ofPhospholipid bilayers. It must be constructed substituting Arsenic. The power molecules for EVERY active function of any cell are ADP & ATP, (the P stands for Phosphorus).  This is a much bigger deal than it is made out to be.  There are scenarios where RNA chains are formed by contact with various naturally occurring catalysts. These chains can be randomly disconnected by sunlight. Broken chain segments can be rejoined to other chain segments which almost always does nothing interesting. But in the course of time with billions of such recombinations occurring perpetually in planets throughout the universe - at some time one chain would stumble upon one of the billions of sequences which enable it to self-replicate.",0,2018-01-05T18:08:41.000Z,0.0433595571096,0.528741258741,en,sciencemag,http://www.sciencemag.org/news/2015/03/researchers-may-have-solved-origin-life-conundrum,True,True,http://www.sciencemag.org/news/2015/03/researchers-may-have-solved-origin-life-conundrum
1054,1054,f5S00V5JGvc,PeeteBoxBattle,https://yt3.ggpht.com/-xFWjlUKl5to/AAAAAAAAAAI/AAAAAAAAAAA/10u_5SF_EUY/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCn46kg76XVvfZtlyECN_tcg,"“Students of the study area have less IQ than students of non-contaminated area, demonstrating that consumption of F also has a major role with the intellectual development of children.”  http://www.huffingtonpost.com/dr-mercola/fluoride_b_2479833.html https://www.hsph.harvard.edu/news/features/fluoride-childrens-health-grandjean-choi/ http://fluoridealert.org/studies/brain01/ https://www.scientificamerican.com/article/is-fluoride-in-private-wells-causing-an-iq-decline1/#  Ich wette du wirst dir nicht einmal eine dieser Studien durchlesen, weil du eine starke Antihaltung gegen meine Argumente hast. Trotzdem sei dir gesagt, dass ich mich lange selbst gefragt habe, warum denn die meisten konventionellen Zahnpastas Flourid enthalten.  Diese letzten Zeilen sind ja wirklich äußerst kindisch. Früher dachten die Leute auch die Welt sei eine Scheibe oder rothaarige seien Hexen oder Homosexuelle seien geistig behindert. Der Einfluss der Medien ist die stärkste Waffe, die die Regierung besitzt, sei dir darüber im Klaren!",4,2017-03-11T18:31:21.000Z,0.0902777777778,0.322222222222,en,scientificamerican,https://www.scientificamerican.com/article/is-fluoride-in-private-wells-causing-an-iq-decline1/#,True,False,http://www.scientificamerican.com/article/is-fluoride-in-private-wells-causing-an-iq-decline1/#
1238,1238,AtEubaJ30n0,Erwin Müller,https://yt3.ggpht.com/-ktF2bhWmxhQ/AAAAAAAAAAI/AAAAAAAAAAA/qOJVJ1CfNhs/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCYfgFTCt-_e0yBiUh39BQwQ,"+H.P. Moffat _""Darwinian evolution states that animals, given the right circumstances, will gradually change into a new animal that can no longer breed with the kind it originated from.""_  Sure. Speciation. Lions and domestic cats. Whales and cows. Those all share common ancestors, proved by DNA analysis and further substantiated by fossil records showing exactly the evolution of those species. http://evolution.berkeley.edu/evolibrary/article/evograms_03  _""And, it will eventually change into something  that is no longer recognizable, a change of kinds.""_  No. Like Darwin wrote ""Man still bears in his bodily frame the indelible stamp of his lowly origin."" Evolution is adopting and morphing old body parts for new function, and we will always recognize the ""kind"" of the animal. That is why we even can create phylogenetic trees of species. A bird is still a dinosaur, it evolved from Theropods,  like Allosaurus and the Raptors from Jurassic Park movie. You can still see the clawed 3 digits feet of birds. http://en.wikipedia.org/wiki/Theropoda  That's why humans are still apes, only without tail and reduced body hair. Whales are still mammals, with a placenta and legs and hips. Penguins are still birds.  About your scientist, first source please. And, it's irrelevant. About 100 years ego scientists have calculated that the sun could burn only for 20 million years, contradicting geological findings that indicate at least a 300 million years age. Because 100 years ego nobody knew about nuclear fusion. Now we know that the sun is not just burning coal, but that it fuses hydrogen and helium thus is able to release energy for at least 10 billion years.",0,2015-05-07T15:17:19.000Z,0.105163883735,0.528191781763,en,berkeley.edu,http://evolution.berkeley.edu/evolibrary/article/evograms_03,False,False,http://evolution.berkeley.edu/evolibrary/article/evograms_03
1392,1392,xuk5l_Lg4_4,Terrell Taylor,https://yt3.ggpht.com/-RJJV1y8HWbg/AAAAAAAAAAI/AAAAAAAAAAA/cVK9uX1jqE8/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCDK-2olEHOcPj6ZP9aLCtxA,"At 0:58 OFNF claims that endogenous retroviruses (ERVs) do not support evolution. He also states that Talk Origins misrepresents the “facts”. Throughout this video he constantly refers to the facts however he never makes it quite clear what facts he is talking about. From 1:00 to 2:06, AbusiveAntiTheist (AAT) explains what ERVs are and explains that the animals we are closely related to share more of the same ERVs than animals we are not closely related to. OFNF then concedes that AAT’s explanation would be reasonable if evolution were true. Obviously, OFNF does not consider evolution true. Keep in mind that the explanation AAT gave in this video is an explanation showing that organisms that are closely related will have more similarities than organisms that are less related. Also, keep in mind how vague the notion that “many similarities between organisms indicate that they are closely related while fewer similarities between animals indicate that they are less closely related” is. Though this notion is a very, very, very rudimentary notion used in regards to evolution, it is not specific as the more complicated reasoning behind the theory of evolution. OFNF attacks this extremely vague notion and uses his criticism of the notion to attack the whole theory of evolution. This is a clear example of straw-manning a position if there ever was one. This will be made clear later on. At 3:30 he makes a distinction between the facts and the interpretation of the facts. He concedes that there are many similarities between organisms at 3:36. However, he does not concede that the fact that animals have similarities implies that animals who share many similarities are closely related. In fact, he states that such an assumption is merely an interpretation of the fact that organisms possess many similarities. He seems to believe that the phylogenetic tree is based solely on the vague assumption that the more similarities that animals have then the more they are related while the less similarities animals have between each other indicates that they are less related. However, he never elaborates on what he means by “similarities” and he never elaborates on what specific animals he is talking about until later on. Well, he sort of elaborates later on. He also claims that “evolutionists” only teach one side of the story as if there is some sort of valid alternative to evolution in the discipline of biology. He also claims that “evolutionists” go through great lengths to ban the controversy regarding evolution from being taught in the class room. He also states that evolutionists ignore contrary evidence while keeping contrary evidence out of the class room. He again states that the “facts” state otherwise. At this point this is where we sort of get into the details. OFNF goes on to cite an article titled “Rewriting Evolution: Tiny molecules called microRNAs are tearing apart traditional ideas about the animal family tree.” as an example of “evolutionists” ignoring contrary evidence. Humorously, he highlights the part of the title that states that microRNA is changing the order of the family tree of evolution yet ignores that the title implies that evolution will still be true being that the title says that evolution is being rewritten and not being shown to be false. He then quotes a part of the article which includes molecular paleobiologist at Dartmouth College, Kevin Peterson’s own words.   “’I’ve looked at thousands of microRNA genes, and I can’t find a single example that would support the traditional tree,” he says. The technique “just changes everything about our understanding of mammal evolution’.”   Here we see another sign of the inconsistency of OFNF’s reasoning. Earlier in the video he stated that evolutionists ignore contrary evidence to evolution yet OFNF cites Peterson (someone he considers an evolutionist) that deals directly with evidence that OFNF considers contrary to evolution. The rest of the article cites other evolutionists who are not ignoring what OFNF considers contrary evidence. This is a tad bit hilarious. He claims that evolutionists are ignoring contrary evidence yet cites a whole article of “evolutionists” not ignoring the very data that OFNF feels is contrary to evolution.  Even funnier is that nothing in the article is contrary to evolution. The article states that Peterson’s findings are contrary to the traditional evolutionary branches on the evolutionary tree yet Peterson’s evidence still supports an evolutionary tree. For example, the article OFNF cites shows a picture of a side-by-side comparison of the traditional evolutionary tree of placental mammals and Kevin Peterson’s evolutionary tree of placental mammals on the PDF of the article. What OFNF fails to communicate is that the two different branches in the side-by-side comparison still show that placental mammals are still a closely related family on their own branch no matter which branch is correct on this side-by-side comparison. Essentially, it is the order and placement of twigs on the branch that is in question. It is not evolution that is in question. Peterson’s evidence is still in support of evolution. OFNF’s claim that there is controversy within the biological community is overstated. If anything the article is great news because it shows that we are improving our understanding of biological evolution. If Peterson is right then we will only make the theory of evolution a stronger theory. If Peterson is wrong then it still makes the theory of evolution a stronger theory. It is a win-win situation being that Peterson’s evidence supports evolution anyways. However, Peterson’s data has not yet been confirmed as the article states.   At 5:06 OFNF continues on to state that in order to get published in peer-reviewed scientific journals one’s results have to line up with the theory of evolution regardless if your data is irrefutable. According to OFNF, if your data doesn’t line up with evolution then your work doesn’t get published and people will have a bias against you. OFNF then supports his assertion by quote mining the article at 5:21. Quote:   “At first, Peterson and Sempere had a tough time publishing their results suggesting that animals had accumulated regulatory microRNAs. ‘One of the reviewers said it was impossible, what we were describing,’ says Peterson.”   OFNF seems to gloss over the two sentences right after the quote he cites that states that Peterson’s papers were eventually published.   “In the end, the work was published in a specialized zoology journal. Subsequent papers, however, won over some sceptics and Peterson was soon publishing in Nature and Science”   Keep in mind that Nature and Science are very prestigious and mainstream science journals that did not ignore Peterson’s findings.   Furthermore, Peterson’s papers were not initially rejected because his data did not align with the theory of evolution. His data was rejected because it was brand new data that has never been seen at the time, period. This is how science works. New data must survive tons of scrutiny before getting published so as to maintain a high standard within the discipline. Sometimes new data gets rejected a few times when going through the peer-review process before finally gaining acceptance. The peer-review process is exactly how Newton and Einstein’s findings gained acceptance. Their findings were scrutinized and sometimes rejected but soon gained acceptance. Peterson’s findings gained acceptance the same way. OFNF then states that creationists have their own scientific journals because of this alleged bias. However, it is clear that OFNF is wrong. He then quotes the same article but only quotes those that disagree with Peterson’s findings. OFNF does not show you the quotes that show that not everyone in the same field as Peterson disagrees with Peterson. After all, Peterson would not have been able to get published if no one agreed with him. Nonetheless, here’s a quote from the same article OFNF quote mines that shows that others agree with Peterson’s microRNA findings:    “That has won him many critics, but also some strong supporters. ‘Peterson and his col­leagues have demonstrated that microRNAs are a powerful tool in determining the rela­tionships of major animal groups,’ says Derek Briggs, director of the Yale Peabody Museum of Natural History in New Haven, Connecticut.”       Elsewhere in the article, evolutionary bioinformatician, Peter Stadler agrees:   “‘It is a really clever and fresh approach to phylogeny,’ says Peter Stadler, an evolutionary bioinformatician at the University of Leipzig in Germany. ‘I don’t quite know why pres­ence/absence of microRNAs is not used more frequently in deep phylogeny approaches.’”   It is clear that scientists are divided on this matter and it is clear that the matter is a work in progress as the article indicates.   OFNF then quotes an abstract of a paper entitled the “Gene tree discordance, phylogenetic inference and the multispecies coalescent”. This is a sophomore move from OFNF. A simple Wikipedia search will show that abstracts are very limited and that the full article should be consulted. Consulting an abstract alone is inadequate when trying to get the full picture. Based on what OFNF quoted from the abstract, Wikipedia is actually right. What OFNF forgiven quoted from the abstract is not very specific at all. At 6:48 OFNF quotes from the abstract stating:   “…conflicting genealogical histories often exist in different genes throughout the genome…resolving close species relationships is not quite as simple as applying more data to the problem.”   From these two statements and a small quote from the article OFNF claims that the article shows genetic trees are different depending on what set of genetic data one looks at but he does not elaborate to what extent the trees are changed. Is the entire evolutionary tree different such that bees fall on a twig on the evolutionary branch of placental mammals or are the differences in genetic trees minor such that tiny twigs of closely related species fall on different places of slightly bigger twig but still strongly support the theory of evolution? OFNF never elaborates on this. However, the abstract OFNF quotes states that resolving [close] species relationships is not simple which indicates that the major branches on the evolutionary tree are well confirmed but it is the minute details of the twigs on this tree which needs further investigation and refining. In other words, the evolutionary tree has been demonstrated. At 8:10, OFNF cites the paper titled “Mapping Human Genetic Ancestry” (http://mbe.oxfordjournals.org/content/24/10/2266.full.pdf+html), and uses the paper to argue against evolution. The paper does state that human evolution is not entirely certain but the paper does state that human evolution did occur. It is also certain that the great apes are closely related and share a common ancestor as is shown in table 2 and 3 of the paper. The paper also doesn’t ignore the incongruent data. The paper actually addresses the data directly and admits to the incongruent data though OFNF ignores that while once again falsely claiming that contrary data is ignored. It seems like it is OFNF that is ignoring the data. OFNF also states that phylogenetic trees cannot be used to prove the family tree but he fails to realize that they are one in the same. He also fails to realize that the family tree cannot be proven because new data can always turn up which could change current phylogeny (http://evolution.berkeley.edu/evolibrary/article/phylogenetics_05). In fact, no science is ever proven exactly because new data can always change current scientific knowledge. All scientific theories are tentative so it is nonsensical for OFNF to ask for the family tree to be proven. The evolutionary tree has already been demonstrated anyways. At 9:38 OFNF quotes the article with Kevin Peterson once again and asserts that AAT is only paying attention to what conforms to AAT’s supposedly preconceived notion that the theory of evolution is correct a priori. However, I have already shown how OFNF has grossly misrepresented the article which renders his charge against ATT superfluous. OFNF then moves on to talk about ERVs but OFNF doesn’t just talk about ERVs, he grossly misrepresents what ERVs tell us about evolution. OFNF argues that it is very likely that chimps and humans would share identical ERV sites while still acquiring ERV cites independently because there are so many cites (~30,000) in human DNA and ERV cites do not occur in random spots. Even granting OFNFs constraints, his argument still does not explain why only specific species share the same exact ERV cites that others do not. For instance, the HERV-K insertion is only shared among various primates. Also, small cats (e.g. the jungle cat, European wildcat, African wildcat, blackfooted cat, and domestic cat) under the family Felidae all share a specific retrogene insertion not found in any other carnivore. Is OFNF going to argue that the matching EVR insertions that are exclusive to primates occurred independently for each primate species but match up perfectly by coincidence? How about the ERV insertion that small cats in the Felidae family share? Did that insertion occur independently of every species in that group but just happens to match up perfectly while that same insertion is completely absent from all other animals? I think not. Clearly, he is just trying to discredit evolution even if his objections make no sense. Given that ERVs are only passed down to descendants it is clear that animals that share ERVs are related and small groups of different species that exclusively share ERVs all share common ancestry. Basically, ERVs do support evolution despite OFNF’s objections in this video.  Rewriting Evolution: http://www.nature.com/news/phylogeny-rewriting-evolution-1.10885 Perpetually mobile footprints of ancient infections in human genome: http://www.sciencedirect.com/science/article/pii/S0014579398004785 Talk Origin on ERV’s: http://www.talkorigins.org/faqs/comdesc/section4.html A HERV-K Provirus in Chimpanzees, Bonobos and Gorillas, But Not Humans: http://www.ncbi.nlm.nih.gov/pubmed/11378389 Do Shared ERVs Support Common Ancestry?: http://www.evolutionnews.org/2011/05/do_shared_ervs_support_common_046751.html Mapping Human Genetic Ancestry: http://mbe.oxfordjournals.org/content/24/10/2266.full.pdf+html Study Reports a Whopping ""23% of Our Genome"" Contradicts Standard Human-Ape Evolutionary Phylogeny: http://www.evolutionnews.org/2011/06/study_reports_a_whopping_23_of047041.html  Bothersome Bats and Other Pests Disturb The ""Tree of Life"": http://www.evolutionnews.org/2012/12/bothersome_bats067121.html YouTube Link: ERV's Phylogenetic Tree's & Other Fairy Tales Gene tree discordance, phylogenetic inference and the multispecies coalescent: http://www.sciencedirect.com/science/article/pii/S0169534709000846",1,2014-07-04T01:37:32.000Z,0.057968686868699985,0.453735386835,en,nature_news,http://www.nature.com/news/phylogeny-rewriting-evolution-1.10885,True,False,http://www.nature.com/news/phylogeny-rewriting-evolution-1.10885
231,231,KUddy8RGwns,PROgrammer8,https://yt3.ggpht.com/-Egt_L4QBVIQ/AAAAAAAAAAI/AAAAAAAAAAA/huCMoXORmPI/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCxpH5CbCeUyGNaVzU3W7WDg,"There are many ways to fix this:   a) ""weight lift"" daily just like astronauts do while in orbit (except it wouldn't be as bad because there's some gravity on mars instead of nothing) b) make space space suits that are very heavy throughout the body so you would feel like you weigh as much as you do on earth c) regularly use a centripetal artificial gravity machine like this one: http://www.space.com/8384-artificial-gravity-tests-space-astronauts.html d) some or all of the above",0,2016-11-10T21:47:11.000Z,-0.1075,0.399198717949,en,space,http://www.space.com/8384-artificial-gravity-tests-space-astronauts.html,False,False,http://www.space.com/8384-artificial-gravity-tests-space-astronauts.html
206,206,5ABgp2QomQA,Py thon,https://yt3.ggpht.com/-F81fQR4VA_w/AAAAAAAAAAI/AAAAAAAAAAA/fm2ZmCOI9jc/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCZeSLdCJUZpK-f6mR5_e-ZA,https://www.scientificamerican.com/article/ligo-black-hole-echoes-hint-at-general-relativity-breakdown1/?WT.mc_id=SA_TW_SPC_NEWS,1,2016-12-13T08:20:32.000Z,0.0,0.0,en,scientificamerican,https://www.scientificamerican.com/article/ligo-black-hole-echoes-hint-at-general-relativity-breakdown1/?WT.mc_id=SA_TW_SPC_NEWS,False,False,http://www.scientificamerican.com/article/ligo-black-hole-echoes-hint-at-general-relativity-breakdown1/?WT.mc_id=SA_TW_SPC_NEWS
1106,1106,E4GQxMHfaEY,Duwang Man,https://yt3.ggpht.com/-LKuMzxAdqHQ/AAAAAAAAAAI/AAAAAAAAAAA/QNmB5KHeLO4/s28-c-k-no-mo-rj-c0xffffff/photo.jpg,http://www.youtube.com/channel/UCikpcIqRl1ftyrBv0v6PZmA,Apparently there are portals right above the earth. From NASA. Like why is no one talking about this? https://science.nasa.gov/science-news/science-at-nasa/2012/29jun_hiddenportals/,1,2017-01-06T02:54:50.000Z,0.111904761905,0.328571428571,en,nasa,https://science.nasa.gov/science-news/science-at-nasa/2012/29jun_hiddenportals/,False,False,http://science.nasa.gov/science-news/science-at-nasa/2012/29jun_hiddenportals/
